Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
halloween2018_45c5cfa0	tara	Then I suppose you won't mind if I show the audience a certain photo I just happen to have right here in my hand…	game/episodes/halloween/halloween.rpy	184	tara direct raised smirk "[what]"
halloween2018_ff2bb6d8	maddie	{b}DON'T YOU DARE.{/b}	game/episodes/halloween/halloween.rpy	202	maddie shockaway "[what]"
halloween2018_35e78100	tara	I hate to admit it, but you rocked this look even better than I did. When are you gonna bring back the clip-on piercings?	game/episodes/halloween/halloween.rpy	212	tara "[what]"
halloween2018_6c351f69	maddie	HA HA, VERY FUNNY! WHAT A SILLY PHOTO THAT DEFINITELY ISN'T ME! THANKS TARA! THAT'S ENOUGH OF THAT NOW!	game/episodes/halloween/halloween.rpy	217	maddie yell shock raised "[what]"
halloween2018_31c407cd	tara	Y'know Mads, I bet you could still pull it off. Maybe edgy goth vlogging was your true calling all along.	game/episodes/halloween/halloween.rpy	226	tara grin raised "[what]"
halloween2018_3fef5741	tara	But know this.	game/episodes/halloween/halloween.rpy	228	tara smirk closed normal "[what]"
halloween2018_8cf1cbab	tara	If you do ever decide to challenge me…	game/episodes/halloween/halloween.rpy	240	tara direct furrow "[what]"
halloween2018_0d8b4342	tara	I will crush you. {w=0.008}Without hesitation. {w=0.008}Without mercy.	game/episodes/halloween/halloween.rpy	247	tara evil thin fierce "[what]"
halloween2018_6bf541e4	tara	Okay! Time for our last one!	game/episodes/halloween/halloween.rpy	254	tara front grin raised "[what]"
halloween2018_3d54b6fa	maddie	Y-yeah…	game/episodes/halloween/halloween.rpy	256	maddie shock "[what]"
halloween2018_cea46d9e	maddie	This has definitely happened before.	game/episodes/halloween/halloween.rpy	266	maddie "[what]"
halloween2018_0c156d7f	tara	You kidding me? This happens, like, once a week.	game/episodes/halloween/halloween.rpy	268	tara fierce yell closed "[what]"
halloween2018_61b694c9	tara	If I gotta sneeze, I'm gonna sneeze in style.	game/episodes/halloween/halloween.rpy	270	tara front grin normal "[what]"
halloween2018_13681546	maddie	Do you actually get more subs for dabbing?	game/episodes/halloween/halloween.rpy	272	maddie open raised "[what]"
halloween2018_f6f64526	tara	If we had a sprite of me dabbing, maybe we'd find out.	game/episodes/halloween/halloween.rpy	274	tara direct smirk raised "[what]"
halloween2018_741ac273	maddie	Also, I will say that AbiGayIRL is a fantastic username.	game/episodes/halloween/halloween.rpy	276	maddie front grin normal "[what]"
halloween2018_fcd66015	tara	If I ever get to be friends with someone named Abigail, I'm gonna make them get that username on literally every website.	game/episodes/halloween/halloween.rpy	278	tara closed smirk furrow "[what]"
halloween2018_a962b0a8	maddie	Where are you going to find someone named Abigail who has zero web presence?	game/episodes/halloween/halloween.rpy	280	maddie attaralow uneven open "[what]"
halloween2018_cb996156	tara	I can dream, can't I?	game/episodes/halloween/halloween.rpy	282	tara avoid cat worry "[what]"
halloween2018_21bae937	tara	Last but not least, here's a couple pieces of art depicting yours truly in all her glory. You're all so good to me.	game/episodes/halloween/halloween.rpy	287	tara front grin raised "[what]"
halloween2018_d2e374fd	tara	Let's start with a very sufficiently spooky submission from our good friend Adi!	game/episodes/halloween/halloween.rpy	289	tara yell closed fierce "[what]"
halloween2018_f27b5f04	maddie	Who?	game/episodes/halloween/halloween.rpy	291	maddie direct uneven yell "[what]"
halloween2018_a96d01d8	tara	I don't know, but doesn't the name seem familiar?	game/episodes/halloween/halloween.rpy	293	tara direct smirk raised "[what]"
halloween2018_437d84f5	tara	I'm just gonna say it. I'd hit that.	game/episodes/halloween/halloween.rpy	301	tara away grin "[what]"
halloween2018_6cba27d7	maddie	Are you really thirsting over a drawing of yourself?	game/episodes/halloween/halloween.rpy	303	maddie attaralow worry open "[what]"
halloween2018_3bab60c6	tara	Look, I know hot when I see it. Demons are hot. I'm hot. Therefore, demon me is hot.	game/episodes/halloween/halloween.rpy	305	tara shockaway yell furrow "[what]"
halloween2018_0e2a1cb4	maddie	I see we're reaching levels of egoism previously thought impossible this evening.	game/episodes/halloween/halloween.rpy	307	maddie yell raised "[what]"
halloween2018_2aa2715e	maddie	I'm moving on before you start making this {i}really{/i} weird.	game/episodes/halloween/halloween.rpy	309	maddie closed open "[what]"
halloween2018_fcc59887	maddie	This final piece is from Lisa, another friend of ours. You may have seen it before somewhere else, but it was too good not to show here as well.	game/episodes/halloween/halloween.rpy	313	maddie direct grin normal "[what]"
halloween2018_c559ac0f	tara	CUUUUUTE! I love this!	game/episodes/halloween/halloween.rpy	319	tara shockaway yell raised "[what]"
halloween2018_ccc66120	tara	I totally want that shirt. It'd be great for doing an episode on water-based cryptids. Or fishgirls.	game/episodes/halloween/halloween.rpy	321	tara closed grin "[what]"
halloween2018_1c85368e	maddie	That doesn't seem very on-brand.	game/episodes/halloween/halloween.rpy	323	maddie attara gape raised "[what]"
halloween2018_29fc52ff	tara	Yeah, but fishgirls are cute. Squidgirls, too. Or jellyfishgirls.	game/episodes/halloween/halloween.rpy	325	tara worry cat avoid "[what]"
halloween2018_91674d51	maddie	We get it.	game/episodes/halloween/halloween.rpy	327	maddie direct frown lower "[what]"
halloween2018_c2a54cd7	tara	Y'know what I don't get? When fishgirls have breasts. They don't give birth to live young, right? Why do they need them?	game/episodes/halloween/halloween.rpy	329	tara shock fierce pout "[what]"
halloween2018_b6f9a962	tara	I guess what I'm trying to say is...do fishgirls lacta-	game/episodes/halloween/halloween.rpy	331	tara closed worry "[what]"
halloween2018_6c8e48ef	maddie	WOW, WHAT A GREAT PIECE OF ART! LET'S MOVE ON!	game/episodes/halloween/halloween.rpy	333	maddie shock yell raised "[what]"
halloween2018_0e18b4b9	tara	Now then! Onto our next event!	game/episodes/halloween/halloween.rpy	344	tara front grin normal "[what]"
halloween2018_94eba2da	tara	This one is a little something I like to call "Trick or...Truth?".	game/episodes/halloween/halloween.rpy	346	tara furrow smirk "[what]"
halloween2018_021cd285	tara	Back at the beginning of the month, we asked you wonderful people to send in your very finest photos of supernatural phenomena that you're {i}absolutely{/i} sure are real. I asked my lovely assistant-	game/episodes/halloween/halloween.rpy	361	tara raised grin closed "[what]"
halloween2018_4f4f2335	maddie	Don't call me that	game/episodes/halloween/halloween.rpy	363	maddie attaralow lower gape "[what]"
halloween2018_f5aa002d	tara	-to pick out some of the best submissions for me to examine and give my expert opinion on! Remember: when in doubt, it's always best to rely on a real professional.	game/episodes/halloween/halloween.rpy	365	tara front "[what]"
halloween2018_42ebd7c2	maddie	What are you a professional of, exactly?	game/episodes/halloween/halloween.rpy	367	maddie closed open worry "[what]"
halloween2018_b553af1d	tara	Roll the first slide!	game/episodes/halloween/halloween.rpy	369	tara closed fierce yell "[what]"
halloween2018_5953fd43	tara	Oh, this is good. This is very good. I'm loving this. Can we get a zoom on that?	game/episodes/halloween/halloween.rpy	376	tara front pout raised "[what]"
halloween2018_8a4f2c4d	tara	Enhance! Enhance!	game/episodes/halloween/halloween.rpy	382	tara fierce yell closed "[what]"
halloween2018_e96c8f7a	maddie	So what do you think that is, exactly?	game/episodes/halloween/halloween.rpy	387	maddie attara grin raised "[what]"
halloween2018_c3f40177	tara	Hell if I know, but it kicks ass. I love her.	game/episodes/halloween/halloween.rpy	389	tara front grin "[what]"
halloween2018_f54d87e6	tara	TRUTH!	game/episodes/halloween/halloween.rpy	392	tara yell fierce shock "[what]"
halloween2018_19a9d0bd	tara	Next up, we've got…	game/episodes/halloween/halloween.rpy	398	tara front grin normal "[what]"
halloween2018_689aca7e	tara	Now, see, this is all wrong. This is like the total opposite of that last one.	game/episodes/halloween/halloween.rpy	404	tara away raised pout "[what]"
halloween2018_181c35e8	maddie	Really? I think it looks a lot more convincing than the last one. Shadows aside, its definition is much clearer.	game/episodes/halloween/halloween.rpy	406	maddie uneven yell attara "[what]"
halloween2018_4e35bc7c	tara	Mads, please. Trust the expert.	game/episodes/halloween/halloween.rpy	408	tara closed pout worry "[what]"
halloween2018_4fb7db8e	tara	If you look closely, you can tell that this is {i}clearly{/i} a drawing. A really good drawing, but definitely a drawing. And there's no room in Taranormal for drawings!	game/episodes/halloween/halloween.rpy	411	tara away "[what]"
halloween2018_418b1148	tara	TRICK!	game/episodes/halloween/halloween.rpy	416	tara yell fierce shock "[what]"
halloween2018_7b6d1479	tara	Next!	game/episodes/halloween/halloween.rpy	421	tara front raised grin "[what]"
halloween2018_ccd23c26	tara	Now this one is interesting. Minimalist, but in a good way. I feel like there's a lot you could take away from it.	game/episodes/halloween/halloween.rpy	426	tara pout fierce "[what]"
halloween2018_34aaf2e6	maddie	You know, something about this one looks oddly familiar…	game/episodes/halloween/halloween.rpy	428	maddie away uneven open "[what]"
halloween2018_42be2810	tara	Have you seen a lot of weird floating lights around lately?	game/episodes/halloween/halloween.rpy	430	tara shockaway worry grin "[what]"
halloween2018_751dadc0	maddie	No more than usual.	game/episodes/halloween/halloween.rpy	432	maddie attara raised frown "[what]"
halloween2018_d7b0ba4e	tara	Y'know, looking at it, I kinda get what you mean though. Something about it is definitely familiar.	game/episodes/halloween/halloween.rpy	434	tara shockaway pout raised "[what]"
halloween2018_1c2e8ed8	tara	I'm gonna go ahead and give it a "Trick" because looking at it makes me feel weird and I'd like to move on.	game/episodes/halloween/halloween.rpy	436	tara closed worry yell "[what]"
halloween2018_a134b0ce	tara	Next!	game/episodes/halloween/halloween.rpy	440	tara yell fierce shock "[what]"
halloween2018_8f75bf36	maddie	According to the email this came with, Marina here was on a trip in the southwest with her girlfriend when the two of them spotted these strange lights above their motel.	game/episodes/halloween/halloween.rpy	447	maddie front open raised "[what]"
halloween2018_191e5334	tara	The only light I need to see here is the light of their LOVE. You two are SO CUTE.	game/episodes/halloween/halloween.rpy	449	tara shock fierce yell "[what]"
halloween2018_acfa5741	tara	I know we've never met, but if I don't get to come to your wedding I'm going to be very disappointed.	game/episodes/halloween/halloween.rpy	451	tara closed "[what]"
halloween2018_7ffad823	tara	Also, shout out to the world's largest thermometer behind them. I've been there and I can confirm it's as cool as it looks.	game/episodes/halloween/halloween.rpy	453	tara shockaway raised grin "[what]"
halloween2018_3b7dad48	maddie	When were you in Baker?	game/episodes/halloween/halloween.rpy	455	maddie attara uneven yell "[what]"
halloween2018_b4b2a3c5	tara	It was during one of my semi-annual Roswell trips. I figured maybe some aliens might have made it to California. You never know.	game/episodes/halloween/halloween.rpy	457	tara closed raised cat "[what]"
halloween2018_17fb78a1	maddie	Right…	game/episodes/halloween/halloween.rpy	459	maddie away lower "[what]"
halloween2018_d20d9911	tara	Anyway, I'm giving this one a "Truth" because those lights are obviously aliens and those two are way too cute for me to doubt them.	game/episodes/halloween/halloween.rpy	461	tara smirk front normal "[what]"
halloween2018_7b6d1479_1	tara	Next!	game/episodes/halloween/halloween.rpy	465	tara front raised grin "[what]"
halloween2018_1566d5e9	maddie	That really gives me the creeps.	game/episodes/halloween/halloween.rpy	472	maddie shock raised yell "[what]"
halloween2018_6dcbf806	tara	Hey Mads, this looks like you every time you see that cute barista you have a crush on through the coffee shop window.	game/episodes/halloween/halloween.rpy	474	tara direct smirk normal "[what]"
halloween2018_670e16e4	maddie	{b}TARA!{/b}	game/episodes/halloween/halloween.rpy	476	maddie shockaway raised yell "[what]"
halloween2018_17f385b2	tara	You're a real sucker for pink hair, huh? If you ever found someone with natural pink hair you'd be set for life.	game/episodes/halloween/halloween.rpy	478	tara grin "[what]"
halloween2018_f253a68c	maddie	June, if you're watching this, I swear she has no idea what she's talking about.	game/episodes/halloween/halloween.rpy	480	maddie shock worry "[what]"
halloween2018_32d0c9fd	tara	Oh my god, you know her name? That's so cute.	game/episodes/halloween/halloween.rpy	482	tara shockaway yell raised "[what]"
halloween2018_cc9f0540	tara	Sounds like we've got our pick for this pic, then!	game/episodes/halloween/halloween.rpy	484	tara grin closed fierce "[what]"
halloween2018_eb982c03	tara	Next!	game/episodes/halloween/halloween.rpy	488	tara front smirk "[what]"
halloween2018_9fd41128	maddie	I'm in hell.	game/episodes/halloween/halloween.rpy	490	maddie direct frown lower "[what]"
halloween2018_ad3816a6	tara	So, this one comes with a little personal message from one Ms. "MFisch." Like the city?	game/episodes/halloween/halloween.rpy	495	tara smirk raised "[what]"
halloween2018_54bd45b0	maddie	That's Memphis. I'm pretty sure "MFisch" is short for someone's name.	game/episodes/halloween/halloween.rpy	497	maddie attara open normal "[what]"
halloween2018_7eb451f9	tara	Let's get that up on screen.	game/episodes/halloween/halloween.rpy	499	tara yell closed normal "[what]"
halloween2018_04b1c951	tara	Hi Tara!! I'm a huge fan of your show and I just finished catching up with every single episode! You're my favorite vlogger and I can't wait to watch more!!! Keep being cute and awesome :)	game/episodes/halloween/halloween.rpy	504	tara front grin raised "[what]"
halloween2018_2cd55a1c	maddie	That's really sweet.	game/episodes/halloween/halloween.rpy	506	maddie raised grin "[what]"
halloween2018_9ca0db6b	tara	For sure. The best part about emails like this is that I can really feel the energy coming from her words. You just know someone like this is bursting with energy in real life, too. {size=30}A woman after my own heart…	game/episodes/halloween/halloween.rpy	509	tara closed grin "[what]"
halloween2018_5ad3a05c	tara	Thanks, MFisch! You keep being cute and awesome, too!	game/episodes/halloween/halloween.rpy	511	tara yell fierce "[what]"
halloween2018_a3b02f05	extend	 Also, DM me.	game/episodes/halloween/halloween.rpy	514	extend "[what]"
halloween2018_549e1402	maddie	NEXT SLIDE.	game/episodes/halloween/halloween.rpy	518	maddie "[what]"
halloween2018_1e9ec125	tara	Okay, so, uh...we've got...a bunch of holes in the snow.	game/episodes/halloween/halloween.rpy	525	tara worry shockaway pout "[what]"
halloween2018_e986731a	maddie	If I'm being honest, I just picked this one because of the fantastic shot composition. Wherever MFisch is from, they must have a great film school.	game/episodes/halloween/halloween.rpy	527	maddie worry grin away "[what]"
halloween2018_a783b4c6	tara	Oh shit. I got it.	game/episodes/halloween/halloween.rpy	529	tara shock pout raised "[what]"
halloween2018_fe1bc467	tara	They're FOOTPRINTS!	game/episodes/halloween/halloween.rpy	531	tara closed fierce yell "[what]"
halloween2018_bd2ca70e	maddie	What's so paranormal about a few footprints?	game/episodes/halloween/halloween.rpy	533	maddie attara uneven gape "[what]"
halloween2018_42386334	tara	That's just it, Mads! These aren't just any footprints! These are footprints of something strange. Something big… something {b}Taranormal{/b}…	game/episodes/halloween/halloween.rpy	536	tara away fierce smirk "[what]"
halloween2018_6e128b55	maddie	Oh boy.	game/episodes/halloween/halloween.rpy	538	maddie away normal frown "[what]"
halloween2018_1e0e2b61	tara	Sounds like a yeti to me, folks! Can't go wrong with a good old fashioned yeti. Which means, of course, this one is clearly…	game/episodes/halloween/halloween.rpy	540	tara front yell "[what]"
halloween2018_9406b50f	tara	Truth!	game/episodes/halloween/halloween.rpy	542	tara closed "[what]"
halloween2018_fcf18d0f	tara	And hey, MFisch...I'm serious about those DMs.	game/episodes/halloween/halloween.rpy	547	tara direct cat raised "[what]"
halloween2018_29723b71	maddie	Next!	game/episodes/halloween/halloween.rpy	549	maddie shock yell raised "[what]"
halloween2018_70879c3a	tara	Oh my god. Oh my god. Oh my god.	game/episodes/halloween/halloween.rpy	555	tara shockaway pout raised "[what]"
halloween2018_13501906	tara	Is that…	game/episodes/halloween/halloween.rpy	557	tara smirk "[what]"
halloween2018_749b8663	maddie	It sure is.	game/episodes/halloween/halloween.rpy	559	maddie attaralow grin "[what]"
halloween2018_7287eb95	tara	{b}THE FRESNO NIGHTCRAWLER!{/b}	game/episodes/halloween/halloween.rpy	563	tara shock yell fierce "[what]"
halloween2018_dda2f662	tara	I can't believe it! Real, indisputable photographic evidence!	game/episodes/halloween/halloween.rpy	565	tara closed worry "[what]"
halloween2018_d97640c5	tara	Mads, this is amazing. Thank you.	game/episodes/halloween/halloween.rpy	567	tara grin raised "[what]"
halloween2018_18368ee8	maddie	Happy Halloween, Tara.	game/episodes/halloween/halloween.rpy	569	maddie grin "[what]"
halloween2018_97e8d4d6	tara	You're really gonna make me cry on camera, huh?	game/episodes/halloween/halloween.rpy	572	tara shockaway worry smile "[what]"
halloween2018_c9689bd9	maddie	Keep it together, Ms. Professional. Let's hear that verdict.	game/episodes/halloween/halloween.rpy	574	maddie closed "[what]"
halloween2018_8256d4c0	tara	I don't even have to say it. But you all know that hasn't stopped me yet.	game/episodes/halloween/halloween.rpy	576	tara closed smile furrow "[what]"
halloween2018_7bf30bb1	maddie	TRUTH!	game/episodes/halloween/halloween.rpy	580	maddie front grin raised "[what]" (window_background="gui/textbox_taramaddie.png", namebox_background="gui/name_taramaddie.png")
halloween2018_a097c0cb	tara	And that's gonna do it for this year's Trick or Truth! But don't worry, we aren't done yet.	game/episodes/halloween/halloween.rpy	591	tara "[what]"
halloween2018_6cc3346f	tara	Looks like we've got a bit more time before our writer has to get back to doing something actually productive, so let's finish with one more section!	game/episodes/halloween/halloween.rpy	593	tara normal closed yell "[what]"
halloween2018_cdcfa324	tara	One I like to call…	game/episodes/halloween/halloween.rpy	595	tara direct smirk raised "[what]"
halloween2018_c6d06ad8	tara	"MADDIE'S MONSTROUS MOVIE MONOLOGUE!"	game/episodes/halloween/halloween.rpy	607	tara shock raised yell "[what]"
halloween2018_2bab2687	tara	Given that it's Halloween, Maddie's going to be talking about her favorite horror-	game/episodes/halloween/halloween.rpy	611	tara front grin raised "[what]"
halloween2018_f7947332	maddie	Film.	game/episodes/halloween/halloween.rpy	613	maddie open "[what]"
halloween2018_ee6fc931	tara	Huh?	game/episodes/halloween/halloween.rpy	615	tara shockaway "[what]"
halloween2018_f710c730	maddie	Not movie. Film. We already talked about this.	game/episodes/halloween/halloween.rpy	617	maddie closed lower yell "[what]"
halloween2018_953c7aa9	tara	Yeah, but...that messes up the title…	game/episodes/halloween/halloween.rpy	619	tara away furrow smirk "[what]"
halloween2018_64b2bef1	maddie	You can't just do something with all F words instead?	game/episodes/halloween/halloween.rpy	621	maddie attaralow gape "[what]"
halloween2018_4b7c2dde	tara	I thought you wanted me to stop using so many F words.	game/episodes/halloween/halloween.rpy	623	tara direct grin normal "[what]"
halloween2018_3d52441a	maddie	Forget it.	game/episodes/halloween/halloween.rpy	625	maddie away open normal "[what]"
halloween2018_a41de7aa	maddie	*ahem*	game/episodes/halloween/halloween.rpy	633	maddie closed open raised "[what]"
halloween2018_d96d89b4	maddie	{size=35}When it was first released in 1982, John Carpenter's horror masterpiece {i}The Thing{/i} was torn apart by critics. While criticism was aimed at a number of elements, one consistent point of critique was its relentlessly bleak tone.	game/episodes/halloween/halloween.rpy	638	maddie attara gape normal "[what]"
halloween2018_0c68209a	maddie	{size=35}All those critics are wrong, of course. {i}The Thing{/i} uses its environment, effects, music, and performances to create a tone that, while dark, is unparalleled in the world of horror in terms of sheer tension.	game/episodes/halloween/halloween.rpy	643	maddie closed uneven open "[what]"
halloween2018_9fa6a273	maddie	{size=35}Given that {i}The Thing{/i} is technically a remake, Carpenter didn't have a choice when it came to the setting. It would have been easy to simply throw all the characters in a base and say they're cold, but John Carpenter isn't the type to take it easy!	game/episodes/halloween/halloween.rpy	650	maddie front worry yell "[what]"
halloween2018_a495c61d	tara	We might wanna call it quits here. She's gonna be like this for a while.	game/episodes/halloween/halloween.rpy	657	tara direct smirk "[what]"
halloween2018_61fdf8b8	tara	But thanks for taking the time to stop by! We hope you enjoyed getting this little treat from us. Or trick, depending on whether or not you were expecting us to actually take this seriously.	game/episodes/halloween/halloween.rpy	659	tara closed yell fierce "[what]"
halloween2018_f62522dc	tara	Happy Halloween! We'll see you all again real soon!	game/episodes/halloween/halloween.rpy	661	tara front grin raised "[what]"
halloween2018_0ae9bcd0_1			game/episodes/halloween/halloween.rpy	664	"[what]"
halloween2018_9f6c0248	abby	{b}BOO!{/b}	game/episodes/halloween/halloween.rpy	682	abby "[what]"
halloween2018_7045c096		Happy Halloween, everyone!	game/episodes/halloween/halloween.rpy	684	"[what]"
interviewghosty_b050f60f	tara	It's finally here… The moment you've all been waiting for.	game/episodes/interviewghosty/interviewghosty.rpy	10	tara "[what]"
interviewghosty_7f87494f	tara	It's I Told You So's very first…	game/episodes/interviewghosty/interviewghosty.rpy	13	tara "[what]"
interviewghosty_805223eb	tara	INTERVIEW WITH A GHOST!	game/episodes/interviewghosty/interviewghosty.rpy	16	tara "[what]"
interviewghosty_7e6fa101	tara	I'm your host, Tara— 	game/episodes/interviewghosty/interviewghosty.rpy	19	tara "[what]"
interviewghosty_bccc8e6d	tara	 — alongside my handsome assistant, Morgan!	game/episodes/interviewghosty/interviewghosty.rpy	22	tara "[what]"
interviewghosty_ab2e88c3	morgan	Hey.	game/episodes/interviewghosty/interviewghosty.rpy	25	morgan "[what]"
interviewghosty_692af3d9	tara	So Morgan, can you tell the audience a little bit about ghosts in your experience?	game/episodes/interviewghosty/interviewghosty.rpy	28	tara "[what]"
interviewghosty_cfdb304d	morgan	Sure. From what I've seen, ghosts like to float around barefoot and turn into little lights when they don't want to be seen.	game/episodes/interviewghosty/interviewghosty.rpy	31	morgan "[what]"
interviewghosty_ef5b6536	morgan	And they're very gay.	game/episodes/interviewghosty/interviewghosty.rpy	33	morgan "[what]"
interviewghosty_a39473ae	tara	Ain't that the truth! Long-time listeners will be well aware of my many escapades into the forgotten cemeteries of Salem in search of a ghost… 	game/episodes/interviewghosty/interviewghosty.rpy	36	tara "[what]"
interviewghosty_91303a02	tara	I'm proud to announce every single trip was ONE-HUNDRED percent worth it!	game/episodes/interviewghosty/interviewghosty.rpy	38	tara "[what]"
interviewghosty_da719275	tara	Every show has its skeptics. Every believer has ten non-believers behind them. But today, I can finally say… 	game/episodes/interviewghosty/interviewghosty.rpy	40	tara "[what]"
interviewghosty_38c9798f	taramorgan	I TOLD YOU SO!	game/episodes/interviewghosty/interviewghosty.rpy	42	taramorgan "[what]"
interviewghosty_e85ce2d5	tara	Come on out, Abigail Dalsing!	game/episodes/interviewghosty/interviewghosty.rpy	44	tara "[what]"
interviewghosty_acc2a2fe	abby	Hello, hello!	game/episodes/interviewghosty/interviewghosty.rpy	46	abby "[what]"
interviewghosty_acc459fa	tara	So good to see you, Abby!	game/episodes/interviewghosty/interviewghosty.rpy	48	tara "[what]"
interviewghosty_43f00ca8	abby	And you too, Tara! I can't believe it has been a full day since we last spoke.	game/episodes/interviewghosty/interviewghosty.rpy	50	abby "[what]"
interviewghosty_5c72f411	morgan	Time really flies.	game/episodes/interviewghosty/interviewghosty.rpy	52	morgan "[what]"
interviewghosty_c1cecee3	tara	Let's get this show on the road! So, Abs, can you introduce yourself to our audience?	game/episodes/interviewghosty/interviewghosty.rpy	54	tara "[what]"
interviewghosty_93179a0d	abby	...?	game/episodes/interviewghosty/interviewghosty.rpy	56	abby "[what]"
interviewghosty_4f780a35	tara	Abby?	game/episodes/interviewghosty/interviewghosty.rpy	58	tara "[what]"
interviewghosty_0fe00ad8	abby	Where is the audience? Shouldn't I speak to them?	game/episodes/interviewghosty/interviewghosty.rpy	60	abby "[what]"
interviewghosty_53c01809	tara	Oh, man, Maddie, I thought you told me she was ready!	game/episodes/interviewghosty/interviewghosty.rpy	62	tara "[what]"
interviewghosty_1f1a8904	maddie	She is! I… Sweetheart, the audience isn't here. We're {i}streaming{/i}, remember?	game/episodes/interviewghosty/interviewghosty.rpy	66	maddie "[what]"
interviewghosty_f28dab18	abby	Oh! Right!	game/episodes/interviewghosty/interviewghosty.rpy	68	abby "[what]"
interviewghosty_5cddeee7	abby	Hello, audience, my name is Abigail Dalsing. I died two hundred years ago, and-	game/episodes/interviewghosty/interviewghosty.rpy	72	abby "[what]"
interviewghosty_e6488f68	abby	Or, wait, maybe it was longer ago? Regardless, I'm better now!	game/episodes/interviewghosty/interviewghosty.rpy	74	abby "[what]"
interviewghosty_2d7c3b93	maddie	{i}Sweetie, back up from the camera.{/i}	game/episodes/interviewghosty/interviewghosty.rpy	76	maddie "[what]"
interviewghosty_0de2e50c	tara	Wow! Two hundred years… What did you do all that time?	game/episodes/interviewghosty/interviewghosty.rpy	78	tara "[what]"
